"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Varify Name in AddToCart Page","","Sat Feb 01 19:48:45 BDT 2025","passed","Sat Feb 01 19:48:45 BDT 2025","","Demo Evershop site search","",""
"","38","Varify total price in AddToCart Page","","Sat Feb 01 19:48:45 BDT 2025","passed","Sat Feb 01 19:48:45 BDT 2025","","Demo Evershop site search","",""
"","27376","Add Product To Cart","","Sat Feb 01 19:48:17 BDT 2025","passed","Sat Feb 01 19:48:44 BDT 2025","","Demo Evershop site search","",""
"","1356","Search with valid product","","Sat Feb 01 19:48:16 BDT 2025","passed","Sat Feb 01 19:48:17 BDT 2025","","Demo Evershop site search","",""
